%time,field.data
1621612874204999288,-0.00370430496266
1621612874205978964,0.000406394978669
1621612874206983839,-0.0019570274048
1621612874208006808,2.95141403539e-05
1621612874209004026,0.000467901251633
1621612874209974673,-0.00135101055887
1621612874210954585,-0.00034746464761
1621612874211952924,-7.71559194312e-05
1621612874212960097,0.000439092197602
1621612874214009188,-0.000652623621589
1621612874214948079,0.000353826434263
1621612874215937447,0.000646714602315
1621612874216942209,-0.00108027111834
1621612874217989960,-0.00119637610274
1621612874219000972,0.00212423818646
1621612874219973282,-0.00227035217992
1621612874220971397,0.0011343018983
1621612874221987999,-0.00146758117225
1621612874223038049,0.00021797932126
1621612874223954716,0.000485475204037
1621612874224949691,-0.00246022676786
1621612874225957662,0.00393394961973
1621612874226950657,0.0016544964806
1621612874227946504,-0.00133528069435
1621612874228947658,-0.00160518836068
1621612874229976927,0.0015621689875
1621612874230983450,0.00010052444599
1621612874232073977,0.000793628121443
1621612874232987931,-0.00019711968402
1621612874234044043,0.000307537299404
1621612874234959639,-0.000650596198359
1621612874235971682,0.00289772857565
1621612874236963327,-0.000501844111933
1621612874237974501,0.0018311147888
1621612874239016636,-0.00165595733592
1621612874239952434,0.00500277224014
1621612874241004755,-0.00120220827338
1621612874242086195,-0.000228826557591
1621612874243030836,0.00484619290686
1621612874244063641,-0.00429226452048
1621612874244961881,0.00241161033565
1621612874245977782,-0.00173148061555
1621612874246957776,0.00320575643431
1621612874247945577,-0.00162535151171
1621612874248952561,0.000757967150489
1621612874249981309,0.00179662108857
1621612874251054671,-0.00127381719262
1621612874252101351,-0.00138532243066
1621612874253054926,0.0013501048246
1621612874253999260,0.000322434782651
1621612874254971992,3.97561233934e-05
1621612874255962413,0.0017987795814
1621612874256993077,0.000105583088494
1621612874257988253,-0.00106938371369
1621612874258988361,0.000212076815886
1621612874259951067,0.00169292841989
1621612874261076339,-0.00271557528631
1621612874261964644,-0.000612085934604
1621612874262964985,0.00198086090741
1621612874263980699,-0.00392876133037
1621612874264974690,0.000171523221959
1621612874265984779,-0.000881486387216
1621612874266971343,0.00229712256705
1621612874267985206,-0.000996479855964
1621612874268999652,-0.00062505077425
1621612874270018012,0.00187130196228
1621612874271026972,-0.00031103026199
1621612874271968138,-0.000558628867831
1621612874272965013,-0.00129132476678
1621612874273984854,0.00197219808906
1621612874275013375,0.00257123590575
1621612874276047402,-0.00354772216571
1621612874276995361,0.000432319713028
1621612874277982032,3.09339910354e-05
1621612874279001609,-0.00183650555774
1621612874279998582,-0.00155105751165
1621612874280969400,0.00289876704129
1621612874281997837,0.000605710110957
1621612874282997103,-0.000386325536006
1621612874283981575,0.000237733226882
1621612874284983492,-0.00159996199023
1621612874285986732,0.00324480591318
1621612874286966042,-0.00198642571125
1621612874287970952,0.00164743809872
1621612874288969261,-0.000501806477038
1621612874290006777,-2.91953342613e-05
1621612874291197052,0.000903939237573
1621612874292237298,-0.000215276127591
1621612874293348736,-0.00103849995015
1621612874294212366,0.00351994062631
1621612874295171058,-0.000149156354712
1621612874296226954,0.00111696481098
1621612874297019280,-0.00211797106131
1621612874298061729,0.00215029306672
1621612874298988137,0.000147826742514
1621612874299956606,0.000176330812507
1621612874300950670,7.45310517747e-05
1621612874301982450,-0.000759185627697
1621612874302953563,-0.0011036955947
1621612874303983542,0.00416933610259
1621612874304983371,-0.000797726876334
1621612874306042148,0.000308589498177
1621612874307006405,-0.000256056709724
1621612874307952367,0.000831791546085
1621612874309037482,-0.00198950347208
1621612874310076216,0.00387674723834
1621612874310975918,-0.000896234034875
1621612874311953384,-0.00162556584893
1621612874312954221,-0.000117239940312
1621612874313987315,-0.000656248180797
1621612874314958438,0.00170174624903
1621612874315942187,-0.00218039846456
1621612874316960809,-0.000645393433585
1621612874318004097,1.8616344355e-05
1621612874318972029,0.000607217408688
1621612874319978366,0.000689044492685
1621612874321039595,-0.00200841208586
1621612874321983147,-0.000313851668099
1621612874322964851,0.00123552137921
1621612874323967012,-0.000892256671881
1621612874324985392,-0.00165397961172
1621612874326004468,-0.00143002663844
1621612874327000572,0.0019061759039
1621612874328011898,-0.00322059186308
1621612874329030642,-0.000340686597156
1621612874330074803,-0.000197916243616
1621612874330956078,-0.00165716275791
1621612874331960281,-0.000491600382513
1621612874332995811,-0.000268804241421
1621612874333962721,-0.00193057666842
1621612874334966695,0.00112395304885
1621612874335957379,-0.000271176203603
1621612874337002899,0.00161049076175
1621612874338097221,-0.00119095018347
1621612874339079622,9.61830930457e-05
1621612874339959334,-0.00338555429757
1621612874340975873,0.000151686174732
1621612874341996288,-0.000802595140348
1621612874343023319,0.00172783262631
1621612874343977714,-0.000259434543293
1621612874344986933,0.00108297759593
1621612874346034502,-0.0024801449916
1621612874347070204,0.00247320776758
1621612874347992937,-0.00134789606265
1621612874349003069,-0.00313858588563
1621612874349987959,0.000691503879491
1621612874350967006,0.00366970672649
1621612874351972887,0.000604690669093
1621612874352995089,0.00157316596905
1621612874354070525,-0.00185686605669
1621612874355007489,-0.00337907216941
1621612874355986248,0.00276885967354
1621612874357006816,-0.000371220440276
1621612874357958911,0.000377613475711
1621612874358949759,0.00128003282018
1621612874359984150,-0.000247362275774
1621612874360970640,4.47565408068e-05
1621612874362006389,-0.00170889118067
1621612874364159403,0.00340162815615
1621612874364228615,-0.000553977667406
1621612874364974999,-0.00166253268996
1621612874365973734,0.00171661007242
1621612874367075678,0.00131441989837
1621612874367989712,0.000927088689484
1621612874368989660,-0.00109903743972
1621612874369976910,0.00274275054768
1621612874370978323,-0.00317435977004
1621612874371952995,-5.64214042154e-06
1621612874372984684,0.000987945379394
1621612874373966827,-0.00138771675839
1621612874374971835,0.00414746876687
1621612874376055062,-0.00185384548612
1621612874376945789,-0.000215891568622
1621612874377970972,0.000120674234605
1621612874378981229,-0.00199478539042
1621612874379978631,0.00332930209812
1621612874380973545,-0.000718167138647
1621612874382002587,0.00062189207195
1621612874382982342,-0.00171219275358
1621612874383994498,-0.00165242310679
1621612874384971748,0.00107232632351
1621612874386048627,0.000641457927442
1621612874386947237,-0.00271131778629
1621612874387943479,0.00244352050149
1621612874388943438,-0.000950848257242
1621612874389986175,0.00191180004161
1621612874391021411,-0.00310965272377
1621612874391994101,0.00291704602939
1621612874392959760,-0.00325109088228
1621612874394019201,0.00213937080229
1621612874394981946,-0.000850326753787
1621612874396001996,-0.00165719333711
1621612874396987050,0.00104422769387
1621612874397975907,-0.000606091213662
1621612874398953751,0.000277669448545
1621612874399943524,-0.00041151667185
1621612874400949333,-2.54001109035e-05
1621612874401970132,0.00136629843306
1621612874402964571,-0.000659381790724
1621612874403993567,-0.000311159048194
1621612874405071822,0.000668147524308
1621612874405991633,-0.00110280927901
1621612874407000080,-0.000190969578595
1621612874407996930,0.00373918676166
1621612874408977047,-0.00320432139933
1621612874409993670,0.000256754837724
1621612874410993351,-0.0003316172138
1621612874411973611,0.000978602150981
1621612874412981642,0.00105307756804
1621612874414020634,0.00115646747334
1621612874415091349,-0.00192196185345
1621612874415957117,-0.00128896207008
1621612874416965474,0.00047070416842
1621612874417983511,-0.000182506022184
1621612874418972525,0.00447063864328
1621612874419980180,-0.00174447867829
1621612874420975299,-0.00343446107576
1621612874421978199,0.00361826727924
1621612874422982162,0.000285258993427
1621612874424033014,0.000226574134454
1621612874425116912,0.000841070939339
1621612874425984160,0.00169097508262
1621612874426979332,-0.000159332715688
1621612874427966898,0.00031290710778
1621612874428975939,-0.00303166273696
1621612874429980353,0.00181919295872
1621612874430996605,-9.2508109506e-05
1621612874432019138,0.00258129346176
1621612874432980601,0.00194442340673
1621612874434097311,-0.00211839056541
1621612874434963247,-0.000549245036008
1621612874435939554,0.000350178213426
1621612874436939183,0.000902031486616
1621612874437968375,-0.00198609758606
1621612874438991804,-0.000208458765472
1621612874440001524,0.000941610144189
1621612874440987052,-0.00131707878925
1621612874441977306,-0.000762083018913
1621612874442997985,0.00347389446143
1621612874444077691,-0.00202818288431
1621612874444972278,-0.000779439535026
1621612874446024439,-0.000429873807661
1621612874446970950,-0.0011850731686
1621612874447950008,0.00115527358213
1621612874448957988,-0.0031606525297
1621612874449971616,0.00258177006784
1621612874450991233,0.000350899147183
1621612874451971699,-0.000126404860357
1621612874453024881,0.000583977297852
1621612874453984564,-0.00184645952994
1621612874454958127,-0.000392212281541
1621612874455948848,8.67138472138e-05
1621612874456954521,0.000876633571623
1621612874457975825,0.00149471655508
1621612874458963183,-0.00390515250048
1621612874459980348,0.00171240927982
1621612874460948539,-0.00386877859015
1621612874461961474,0.00339150952899
1621612874463010852,0.0008782950357
1621612874464269035,-0.00287725009762
1621612874465373853,0.000835545471367
1621612874466125743,-0.00136551617613
1621612874467249950,0.000782881601102
1621612874468207477,-0.0013154600893
1621612874469137846,-0.000808271435337
1621612874470071299,-0.000248912779055
1621612874471017758,0.00255225107415
1621612874471959545,-0.000699636208634
1621612874472947753,-0.00178456139655
1621612874473988970,0.00186340964869
1621612874474972748,-0.000985543781695
1621612874475991093,0.002207604059
1621612874476982801,-0.00204302451656
1621612874477994658,0.00237070892495
1621612874478993644,-0.000645459089954
1621612874480030526,-0.00150888741213
1621612874480991119,0.00201570217917
1621612874482020378,-0.000960084135193
1621612874483028297,0.00209062965228
1621612874483962314,-0.00304902297732
1621612874484953971,0.00316345263573
1621612874485970706,-0.00134802848872
1621612874486959665,0.00121353192739
1621612874487956888,-0.000153845224338
1621612874488947136,-0.000343615727871
1621612874489964922,0.00104388406608
1621612874490957210,0.00288414615801
1621612874491962291,-0.00250978413041
1621612874492990266,-0.000865593025479
1621612874494032439,7.92913030789e-05
1621612874494977743,0.000711255530805
1621612874495954708,0.00150715224401
1621612874496980213,-0.00099096366668
1621612874497966075,0.00067712018359
1621612874498956585,-0.00168014385793
1621612874499982807,0.00113754634723
1621612874500982052,0.000620005088048
1621612874501972135,-0.00063162079067
1621612874503051729,0.000904767177068
1621612874503989988,-0.00103248496008
1621612874504988876,-0.000351436710067
1621612874506030031,0.00142908911216
1621612874506980550,-0.000726283215458
1621612874507969144,0.00194486325233
1621612874508974715,-0.00269363723127
1621612874509976991,-0.000609318289935
1621612874510971144,0.0016003876645
1621612874512008942,0.000443110763859
1621612874512982230,-0.000354763839638
1621612874514004756,0.000773650173036
1621612874515021663,-0.00202284330308
1621612874516021282,-0.000244401989535
1621612874516970102,-0.00287348242167
1621612874517979124,0.00179129108546
1621612874518944446,-0.00129260714732
1621612874519947348,0.00152527965436
1621612874520971181,0.000119740860893
1621612874522064642,-0.0024352931578
1621612874522980197,0.00163916285989
1621612874523971728,-0.000881172951717
1621612874524970228,-0.000948782073018
1621612874525955635,-0.0014243818881
1621612874526937745,0.00248309443696
1621612874527946559,-0.00249038475286
1621612874529000740,0.00362311062907
1621612874530002861,-0.00189851825771
1621612874530995361,-0.00204686461014
1621612874532068785,0.00105357034264
1621612874532969053,0.00106221052376
1621612874534013301,0.00103560091713
1621612874534981577,0.000635622125267
1621612874535955737,0.00124878049712
1621612874537003389,-5.97945769565e-05
1621612874538001282,-0.00135848224458
1621612874538969076,0.000831672105073
1621612874539949256,-0.000137901461916
1621612874540976987,-0.00158168781306
1621612874542000500,0.00278998909775
1621612874543061851,-0.00182974444762
1621612874544007833,0.000185382443729
1621612874544954379,-0.000762854468705
1621612874545982455,0.00199127377543
1621612874546963740,-0.000411715440851
1621612874547972365,-0.000118614304045
1621612874548962931,0.000784318059832
1621612874549981482,-0.000716812017409
1621612874551005443,0.00319456175979
1621612874551965502,6.03281715694e-05
1621612874552957375,-0.00411430222735
1621612874553980413,0.00166629078668
1621612874554960367,0.00223529266863
1621612874555964358,-0.00214227841899
1621612874556958897,0.00318444843483
1621612874557975962,-0.00245641999774
1621612874558955146,-0.000132122790042
1621612874559967122,-0.00106903394914
1621612874560973681,0.00145808302388
1621612874562128287,0.000830728913992
1621612874562957550,0.000528026906088
1621612874563971082,-0.00322247553541
1621612874564966306,0.00122685945125
1621612874565967421,-3.04540394014e-05
1621612874566963660,0.000622780091386
1621612874567998938,-0.00104493194164
1621612874568983330,-0.00262958585773
1621612874570031619,0.00179794473043
1621612874571029968,0.00169353454704
1621612874572014301,-0.00121835663425
1621612874573010405,-0.00301842860939
1621612874574066596,0.00361568798135
1621612874575037196,-0.00266152462935
1621612874575993649,-0.000800711109417
1621612874576998428,-0.000135123323197
1621612874577998710,0.00125254785643
1621612874579012229,0.000609251057493
1621612874580010436,-0.000159276985601
1621612874581017499,-0.00320920706343
1621612874582044345,-0.000699428978845
1621612874582985993,0.000951815878003
1621612874583971023,0.000107134682015
1621612874584964993,7.51650341968e-06
1621612874586039305,0.000113228025289
1621612874587028781,0.00302051064116
1621612874587976303,-0.00295292234265
1621612874588954763,-0.000762989975645
1621612874589956667,0.00157081340058
1621612874591059805,-8.56817010675e-05
1621612874591947716,-0.00221988702642
1621612874593017213,0.000850147844789
1621612874593983290,-0.00083467082157
1621612874594972277,-0.00132409182019
1621612874596121451,0.00244169979124
1621612874597269593,0.00063045326093
1621612874598200885,-0.00217331888652
1621612874599262881,0.000404050102709
1621612874600115929,0.00102888576714
1621612874601291505,-0.00172879107496
1621612874602091744,0.000359953166162
1621612874603262143,0.00169301452979
1621612874604002155,-0.0017398140284
1621612874604982459,-0.00173615290666
1621612874605970930,0.000536337162793
1621612874606971756,0.00333468860603
1621612874607941912,0.000961203111771
1621612874608941348,-0.00173180843754
1621612874610022557,0.00182832843265
1621612874611006409,-0.0020921549414
1621612874612057821,0.000978908917482
1621612874612996202,-3.14728392237e-05
1621612874613988646,0.00156683353469
1621612874614952107,-0.00084592495897
1621612874615942350,-0.000458532904313
1621612874616958914,0.00165066432156
1621612874617970673,0.00051474972762
1621612874618971713,0.000728661666227
1621612874619985166,-0.00262872856505
1621612874620930671,0.00305932408495
1621612874621949387,-0.00138822992946
1621612874622951007,-0.000107684156037
1621612874623953004,0.00109676031324
1621612874624959486,-0.00122810545888
1621612874626047930,-0.00137253503785
1621612874626997762,0.00234297587265
1621612874627954461,-0.000368685669327
1621612874628943467,-0.000142700988692
1621612874630074068,-0.00246933032477
1621612874630997112,0.00435913414609
1621612874631957720,-0.00154830920795
1621612874632966831,0.000349140070188
1621612874634012194,0.00141056603942
1621612874634969568,-0.00294619204289
1621612874635944864,0.00270896622234
1621612874637016727,-0.00204445053253
1621612874638009486,-0.00132066600422
1621612874638975404,0.0021163587719
1621612874640073555,-0.000365936269064
1621612874641001443,8.06060744818e-05
1621612874641982249,0.000797340179992
1621612874642983425,-0.00441452610922
1621612874643987167,0.00394878416854
1621612874644972318,-1.27039880837e-05
1621612874645986158,-0.00206759294774
1621612874646971067,8.1440179045e-06
1621612874647959745,0.000698638132346
1621612874649038835,-0.00172367894213
1621612874649989015,0.00172630208217
1621612874650996821,0.00125408306395
1621612874651988490,-0.0037895861511
1621612874652986036,0.00470165438338
